time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-05-21T05:50:35.920Z,38.8723,-118.6047,0.6,3.2,ml,10,172.94,1.145,0.22,nn,nn00730026,2020-05-21T05:59:18.031Z,"38km N of Hawthorne, Nevada",earthquake,,19.2,,,automatic,nn,nn
2020-05-21T05:50:20.680Z,38.2178,-117.7855,15.6,2.8,ml,21,69.97,0.153,0.15,nn,nn00730022,2020-05-21T05:53:34.345Z,"51km WNW of Tonopah, Nevada",earthquake,,1,,,automatic,nn,nn
2020-05-21T05:08:43.993Z,19.2683,-67.6869,10,3.2,ml,,207,0.965,0.4,us,us70009m9w,2020-05-21T05:24:59.375Z,"105km NW of San Antonio, Puerto Rico",earthquake,4.1,2,0.06,37,reviewed,us,us
2020-05-21T05:00:56.910Z,38.1928,-117.8512,13.4,3,ml,37,50.03,0.107,0.38,nn,nn00729996,2020-05-21T05:12:16.040Z,"57km WNW of Tonopah, Nevada",earthquake,,8.4,,,automatic,nn,nn
2020-05-21T04:43:04.950Z,38.1247,-117.7222,10.4,2.6,ml,14,172.29,0.084,0.15,nn,nn00729983,2020-05-21T04:56:14.253Z,"43km W of Tonopah, Nevada",earthquake,,1.1,,,automatic,nn,nn
2020-05-21T04:42:59.432Z,38.0757,-117.2637,12.5,2.8,ml,13,161.78,0.35,0.4444,nn,nn00729981,2020-05-21T04:46:18.476Z,"3km WNW of Tonopah, Nevada",earthquake,,0.7,0.36,10,reviewed,nn,nn
2020-05-21T04:42:51.440Z,38.1218,-118.0373,4.6,2.5,ml,12,120.99,0.36,0.32,nn,nn00729980,2020-05-21T04:46:13.173Z,"68km SE of Hawthorne, Nevada",earthquake,,5.9,,,automatic,nn,nn
2020-05-21T04:28:53.142Z,15.6632,-94.7568,28.01,4.9,mww,,124,2.594,1.02,us,us70009m9h,2020-05-21T05:23:42.988Z,"64km SSE of San Mateo del Mar, Mexico",earthquake,8.3,5.5,0.098,10,reviewed,us,us
2020-05-21T04:21:25.040Z,38.1598,-117.89,8.8,2.6,ml,31,60.73,0.067,0.13,nn,nn00729972,2020-05-21T04:24:44.991Z,"58km W of Tonopah, Nevada",earthquake,,1,,,automatic,nn,nn
2020-05-21T03:50:10.134Z,-17.6299,-178.5238,500.76,5.1,mb,,144,3.265,0.95,us,us70009m8w,2020-05-21T04:00:51.040Z,"260km ESE of Lambasa, Fiji",earthquake,13.7,12.6,0.172,11,reviewed,us,us
2020-05-21T03:44:36.456Z,59.5509,-149.5916,13.3,2.9,ml,,,,0.61,ak,ak0206iwd3c1,2020-05-21T03:57:38.818Z,"59km S of Seward, Alaska",earthquake,,0.4,,,automatic,ak,ak
2020-05-21T03:43:20.791Z,-41.7072,-74.004,35,4.1,mb,,113,0.499,1.03,us,us70009m8r,2020-05-21T04:50:05.191Z,"23km NW of Ancud, Chile",earthquake,5.3,2,0.214,6,reviewed,us,us
2020-05-21T03:38:20.940Z,17.8308,-66.8846,5,3.06,md,23,233,0.1444,0.28,pr,pr2020142003,2020-05-21T05:25:45.882Z,"15km S of Guanica, Puerto Rico",earthquake,0.78,0.61,0.31,19,reviewed,pr,pr
2020-05-21T03:26:01.440Z,38.1738,-118.1333,0.2,2.5,ml,20,61.83,0.145,0.11,nn,nn00729928,2020-05-21T03:42:26.040Z,"56km SE of Hawthorne, Nevada",earthquake,,8.4,,,automatic,nn,nn
2020-05-21T03:21:36.481Z,-8.2394,159.691,10,4.7,mb,,112,1.218,0.56,us,us70009m92,2020-05-21T04:10:47.040Z,"15km SE of Buala, Solomon Islands",earthquake,7,1.9,0.058,91,reviewed,us,us
2020-05-21T02:41:50.870Z,17.8155,-66.9098,4,2.77,md,17,261,0.1625,0.3,pr,pr2020142002,2020-05-21T02:55:47.792Z,"17km S of Guanica, Puerto Rico",earthquake,0.93,0.66,0.27,13,reviewed,pr,pr
2020-05-21T02:37:42.630Z,38.1852,-117.7428,7.6,2.7,ml,37,48.54,0.116,0.11,nn,nn00729898,2020-05-21T02:47:32.040Z,"45km WNW of Tonopah, Nevada",earthquake,,6.6,,,automatic,nn,nn
2020-05-21T02:28:21.828Z,44.2664,-115.1651,10,2.5,ml,,66,0.888,0.69,us,us70009m7k,2020-05-21T03:37:55.521Z,"72km NE of Idaho City, Idaho",earthquake,4.1,2,0.071,26,reviewed,us,us
2020-05-21T02:20:41.000Z,38.2247,-117.7905,2.9,2.6,ml,26,122.91,0.118,0.06,nn,nn00729892,2020-05-21T03:28:43.040Z,"53km WNW of Tonopah, Nevada",earthquake,,0.8,,,automatic,nn,nn
2020-05-21T01:27:20.370Z,38.2523,-117.982,13.3,2.5,ml,17,83.43,0.848,0.18,nn,nn00729860,2020-05-21T02:17:35.040Z,"65km W of Tonopah, Nevada",earthquake,,0.7,,,automatic,nn,nn
2020-05-21T01:18:57.920Z,38.206,-117.724,6.2,2.9,ml,27,49.42,0.132,0.13,nn,nn00729852,2020-05-21T02:07:08.040Z,"44km WNW of Tonopah, Nevada",earthquake,,1.1,,,automatic,nn,nn
2020-05-21T00:53:52.710Z,38.2145,-117.7842,7.2,3,ml,23,50.39,0.15,0.1404,nn,nn00729837,2020-05-21T01:37:14.991Z,"51km WNW of Tonopah, Nevada",earthquake,,1.7,0.42,7,reviewed,nn,nn
2020-05-21T00:33:38.500Z,19.0153,-64.4841,10,3.85,md,21,237,1.6202,0.39,pr,pr2020142000,2020-05-21T04:07:51.421Z,"40km N of Road Town, British Virgin Islands",earthquake,2.18,31.61,0.08,17,reviewed,pr,pr
2020-05-21T00:11:46.583Z,38.1531,-117.8601,5.6,3,ml,25,55.66,0.08,0.2109,nn,nn00729812,2020-05-21T03:11:43.513Z,"56km W of Tonopah, Nevada",earthquake,,1.1,0.3,12,reviewed,nn,nn
2020-05-21T00:10:20.702Z,64.4415,-148.0635,0,2.6,ml,,,,0.81,ak,ak0206iudgv8,2020-05-21T00:53:10.040Z,"44km S of Ester, Alaska",earthquake,,0.3,,,automatic,ak,ak
2020-05-20T23:59:41.340Z,17.8138,-66.905,5,2.77,md,21,237,0.1633,0.33,pr,pr2020141015,2020-05-21T02:45:59.040Z,"24km S of Guanica, Puerto Rico",earthquake,0.87,0.66,0.42,17,reviewed,pr,pr
2020-05-20T23:43:18.178Z,35.1547,20.2872,20.22,5.7,mww,,22,2.415,0.81,us,us70009m4x,2020-05-21T01:45:47.113Z,"224km SW of Methoni, Greece",earthquake,6.8,3.7,0.048,42,reviewed,us,us
2020-05-20T23:42:20.180Z,17.959,-66.985,8,3.06,md,23,192,0.0601,0.19,pr,pr2020141014,2020-05-21T02:30:21.040Z,"9km SW of Guanica, Puerto Rico",earthquake,0.43,0.73,0.28,19,reviewed,pr,pr
2020-05-20T23:29:00.970Z,38.1235,-118.066,7.5,3,ml,30,46.55,0.081,0.09,nn,nn00729788,2020-05-21T02:24:58.040Z,"65km SE of Hawthorne, Nevada",earthquake,,1.4,,,automatic,nn,nn
2020-05-20T23:24:30.550Z,17.8345,-66.8836,12,2.56,md,17,255,0.1407,0.24,pr,pr2020141013,2020-05-21T00:15:16.911Z,"15km S of Guanica, Puerto Rico",earthquake,0.82,0.64,0.22,12,reviewed,pr,pr
2020-05-20T23:11:58.860Z,19.2173333,-155.4181667,32.66,2.71,ml,55,139,0.028,0.12,hv,hv71520597,2020-05-21T02:49:20.220Z,"5km NE of Pahala, Hawaii",earthquake,0.43,0.6,0.189,32,reviewed,hv,hv
2020-05-20T23:02:58.053Z,59.6553,-152.0664,70.7,3.4,ml,,,,0.53,ak,ak0206hkhgel,2020-05-20T23:12:43.926Z,"21km SW of Anchor Point, Alaska",earthquake,,0.4,,,automatic,ak,ak
2020-05-20T22:30:17.430Z,38.1615,-117.925,6.5,2.7,ml,17,98.95,0.453,0.17,nn,nn00729755,2020-05-20T22:42:00.040Z,"60km WNW of Tonopah, Nevada",earthquake,,16.1,,,automatic,nn,nn
2020-05-20T21:17:33.394Z,38.2018,-117.7508,9.1,3,ml,24,49.41,0.103,0.1547,nn,nn00729705,2020-05-21T02:13:07.890Z,"48km WNW of Tonopah, Nevada",earthquake,,1.4,0.31,5,reviewed,nn,nn
2020-05-20T21:07:00.694Z,38.1925,-117.7344,7.5,3.4,ml,28,48.73,0.112,0.1539,nn,nn00729693,2020-05-21T02:28:03.881Z,"44km WNW of Tonopah, Nevada",earthquake,,0.8,0.26,9,reviewed,nn,nn
2020-05-20T20:54:53.227Z,54.6318,-156.7613,5.1,3.1,ml,,,,1.11,ak,ak0206hj0afb,2020-05-21T01:25:24.147Z,"151km SSW of Chirikof Island, Alaska",earthquake,,0.8,,,reviewed,ak,ak
2020-05-20T20:46:45.814Z,61.3818,-150.1131,19.6,2.5,ml,,,,0.91,ak,ak0206hiyk8m,2020-05-20T23:10:30.040Z,"14km SSW of Big Lake, Alaska",earthquake,,0.4,,,automatic,ak,ak
2020-05-20T20:36:53.780Z,17.8436,-66.9073,7,2.91,md,14,258,0.1345,0.23,pr,pr2020141011,2020-05-20T22:48:24.040Z,"22km S of Guanica, Puerto Rico",earthquake,0.89,0.65,0.14,7,reviewed,pr,pr
