time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2015-12-28T18:35:27.890Z,23.8047,122.5175,28.68,4.7,mb,,102,0.799,0.91,us,us10004a4e,2016-03-18T01:13:05.040Z,"88km SSW of Yonakuni, Japan",earthquake,6.4,4.9,0.073,57,reviewed,us,us
2015-12-27T07:00:38.080Z,24.6228,122.5797,96.58,4.6,mb,,53,0.422,0.97,us,us10004bi7,2016-03-18T01:13:03.040Z,"45km WNW of Yonakuni, Japan",earthquake,6.4,6.5,0.136,16,reviewed,us,us
2015-12-26T04:05:24.110Z,24.1381,121.731,19.81,4.1,mb,,86,0.129,1.18,us,us10004bek,2016-03-18T01:13:01.040Z,"22km NE of Hualian, Taiwan",earthquake,3.1,5.4,0.151,12,reviewed,us,us
2015-12-25T21:10:05.300Z,24.78,121.26,12.9,4,ml,,,,0.63,us,us10004ezd,2016-03-18T01:13:01.040Z,"11km SSW of Daxi, Taiwan",earthquake,3.7,6.2,,,reviewed,tap,tap
2015-12-24T21:20:22.170Z,24.0159,121.0766,10,4.4,mb,,71,0.253,1.11,us,us10004b94,2016-03-18T01:12:59.040Z,"12km ENE of Buli, Taiwan",earthquake,2.4,1.9,0.112,23,reviewed,us,us
2015-12-24T19:18:32.930Z,23.9178,121.132,10,4,mb,,88,0.208,1.01,us,us20004wwz,2016-03-18T01:12:59.040Z,"17km ESE of Buli, Taiwan",earthquake,3,1.9,0.231,5,reviewed,us,us
2015-12-23T18:39:59.710Z,23.7993,121.659,38.27,4,mb,,101,0.377,0.66,us,us10004b7g,2016-03-12T02:29:23.040Z,"20km SSE of Hualian, Taiwan",earthquake,3,9.6,0.3,3,reviewed,us,us
2015-12-12T15:47:21.170Z,23.3363,121.3406,14.08,4.3,mb,,88,0.068,0.78,us,us20004hkb,2016-03-05T01:42:04.040Z,"66km NNE of Taitung, Taiwan",earthquake,5.2,2.4,0.16,11,reviewed,us,us
2015-12-12T15:39:43.920Z,23.3631,121.4178,17.35,4.3,mb,,103,0.114,0.64,us,us20004grk,2016-03-05T01:42:04.040Z,"70km SSW of Hualian, Taiwan",earthquake,2.9,7.2,0.169,10,reviewed,us,us
2015-12-06T04:42:49.000Z,24.096,121.9637,17.92,4.3,mb,,95,0.345,0.8,us,us10004a0q,2016-03-02T03:36:34.040Z,"38km ENE of Hualian, Taiwan",earthquake,4.3,2.1,0.148,13,reviewed,us,us
2015-12-03T14:31:12.860Z,22.5999,121.4008,21.8,5.1,mb,,73,0.367,0.68,us,us1000431g,2016-03-02T03:36:29.040Z,"31km SE of Taitung City, Taiwan",earthquake,4.1,4.8,0.065,79,reviewed,us,us
