time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-05-22T03:23:54.030Z,19.1548328,-155.4638367,33.16,2.5,ml,23,213,0.0988,0.13,hv,hv71522037,2020-05-22T03:29:28.800Z,"5km SSE of Pahala, Hawaii",earthquake,0.82,1.12,3.99,5,automatic,hv,hv
2020-05-22T03:21:13.553Z,39.5409,40.074,10,4.3,mb,,75,0.577,0.83,us,us70009mzz,2020-05-22T03:37:18.040Z,"16km ENE of Pulumer, Turkey",earthquake,4.3,1.9,0.201,7,reviewed,us,us
2020-05-22T02:45:17.670Z,38.2422,-117.7795,0.6,2.5,ml,8,164.9,0.096,0.07,nn,nn00730830,2020-05-22T02:48:07.794Z,"51km WNW of Tonopah, Nevada",earthquake,,9.6,,,automatic,nn,nn
2020-05-22T02:21:48.290Z,17.9251,-66.8178,11,2.68,md,22,196,0.0792,0.21,pr,pr2020143000,2020-05-22T03:06:44.877Z,"7km S of Indios, Puerto Rico",earthquake,0.57,0.54,0.23,22,reviewed,pr,pr
2020-05-22T02:01:53.510Z,54.6575,-161.4129,10,3.8,mb,,177,0.878,0.79,us,us70009myq,2020-05-22T02:17:44.040Z,"95km SW of Sand Point, Alaska",earthquake,5.4,2,0.104,24,reviewed,us,us
2020-05-22T02:01:45.191Z,38.1388,-118.0612,8.5,2.9,ml,32,58.64,0.085,0.3866,nn,nn00730792,2020-05-22T02:24:30.040Z,"65km SE of Hawthorne, Nevada",earthquake,,0.3,0.31,23,reviewed,nn,nn
2020-05-22T01:24:42.000Z,38.2307,-117.7922,9.2,2.6,ml,20,99.98,0.113,0.14,nn,nn00730761,2020-05-22T01:38:11.040Z,"53km WNW of Tonopah, Nevada",earthquake,,1.5,,,automatic,nn,nn
2020-05-22T00:22:00.961Z,38.2357,-117.7963,6.9,5.3,ml,28,46.98,0.095,0.1973,nn,nn00730721,2020-05-22T03:25:09.154Z,"53km WNW of Tonopah, Nevada",earthquake,,1.2,0.46,12,reviewed,nn,nn
2020-05-22T00:02:11.900Z,51.4806,-173.56,31.9,2.5,ml,,,,0.54,ak,ak0206khv3ga,2020-05-22T00:37:24.100Z,"91km SSE of Atka, Alaska",earthquake,,1.8,,,reviewed,ak,ak
2020-05-21T23:59:06.250Z,18.0116,-66.7396,6,3.59,md,24,139,0.137,0.15,pr,pr2020142018,2020-05-22T02:57:08.117Z,"0km SSE of Tallaboa, Puerto Rico",earthquake,0.33,0.18,0.12,17,reviewed,pr,pr
2020-05-21T23:48:30.130Z,17.8938,-66.8776,14,2.58,md,13,230,0.0813,0.22,pr,pr2020142019,2020-05-22T01:01:55.373Z,"9km SSE of Guanica, Puerto Rico",earthquake,0.82,0.9,0.26,10,reviewed,pr,pr
2020-05-21T23:44:53.228Z,38.1903,-117.7429,8.8,3,ml,20,71.44,0.117,0.1487,nn,nn00730707,2020-05-22T02:12:46.854Z,"51km WNW of Tonopah, Nevada",earthquake,,1.9,0.52,5,reviewed,nn,nn
2020-05-21T23:43:48.959Z,38.1859,-117.7417,9.4,2.7,ml,13,49.93,0.105,0.1562,nn,nn00730705,2020-05-22T02:12:44.656Z,"47km WNW of Tonopah, Nevada",earthquake,,1.3,0.46,8,reviewed,nn,nn
2020-05-21T23:35:46.942Z,44.2533,-115.0819,10,3.5,ml,,68,0.842,0.77,us,us70009mwf,2020-05-22T01:36:46.383Z,"73km WSW of Challis, Idaho",earthquake,2.9,2,0.032,130,reviewed,us,us
2020-05-21T23:27:03.920Z,17.9561,-66.9871,10,2.64,md,21,199,0.0587,0.17,pr,pr2020142017,2020-05-22T01:02:11.389Z,"6km ESE of La Parguera, Puerto Rico",earthquake,0.38,0.53,0.36,18,reviewed,pr,pr
2020-05-21T23:00:43.197Z,-4.1119,152.8625,14.88,4.7,mb,,53,0.701,0.82,us,us70009mw1,2020-05-21T23:25:44.040Z,"43km NNW of Taron, Papua New Guinea",earthquake,5.8,1.8,0.108,26,reviewed,us,us
